round,roundName,pageUrl,id,home.name,home.id,away.name,away.id
1/8,Round of 16,https://www.fotmob.com/matches/1d3befij-vs-1g3aehij/20iw8gu4i#4653845,4653845,1D/3BEFIJ,1685726,1G/3AEHIJ,1685727
1/8,Round of 16,https://www.fotmob.com/matches/1j2h-vs-2d2g/20iwwjzci#4653848,4653848,1J/2H,1685732,2D/2G,1685733
1/8,Round of 16,https://www.fotmob.com/matches/1b3efgij-vs-1k3deijl/20iwwjzcj#4653849,4653849,1B/3EFGIJ,1685731,1K/3DEIJL,1685734
1/4,Quarter-Finals,https://www.fotmob.com/matches/winner-ef-1-vs-winner-ef-2/1gzlq2j4i#4653851,4653851,Winner EF 1,1440908,Winner EF 2,1440909
1/4,Quarter-Finals,https://www.fotmob.com/matches/winner-ef-5-vs-winner-ef-6/1gzm787ex#4653853,4653853,Winner EF 5,1440912,Winner EF 6,1440915
1/4,Quarter-Finals,https://www.fotmob.com/matches/winner-ef-3-vs-winner-ef-4/1gzlwxlmq#4653852,4653852,Winner EF 3,1440910,Winner EF 4,1440911
1/4,Quarter-Finals,https://www.fotmob.com/matches/winner-ef-8-vs-winner-ef-7/1gzm787ew#4653854,4653854,Winner EF 7,1440914,Winner EF 8,1440913
1/2,Semi-Finals,https://www.fotmob.com/matches/winner-qf-1-vs-winner-qf-2/4xvci#4653855,4653855,Winner QF 1,2036,Winner QF 2,2037
1/2,Semi-Finals,https://www.fotmob.com/matches/winner-qf-3-vs-winner-qf-4/4y7xe#4653856,4653856,Winner QF 3,2038,Winner QF 4,2039
bronze,Bronze Final,https://www.fotmob.com/matches/loser-sf-1-vs-loser-sf-2/4oe88#4653857,4653857,Loser SF 1,1981,Loser SF 2,1982
final,Final,https://www.fotmob.com/matches/winner-sf-1-vs-winner-sf-2/4oqgw#4653858,4653858,Winner SF 1,1983,Winner SF 2,1984
